userId,dateKey,todoId,actualMinutes
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-09,OBRscVWDrP6T2dgGwzRM,90
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-09,PMlKDTosFFAwOZY964VQ,0
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-09,yFII5G1f8Yf47CTrPlWC,0
DgApBqtxpeVE5G5MnIVw9ThpyN93,2025-12-15,yFII5G1f8Yf47CTrPlWC,15
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,2025-12-15,N43xxIs1NVgUdHVhicz2,600
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-09,qZKJCL2VufLaTX9DEQp4,30
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-09,uQW6hsvE1slri1CR9ckl,30
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-10,qZKJCL2VufLaTX9DEQp4,35
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-10,rJOWMdXZYNtZYlxrpsFG,10
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-10,RzRotmx1X9OzjqCFdaCU,120
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-10,WENaj13RWJSra5tVQdBe,5
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-12,H4r4RS33SpOUYyMby8UI,10
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-14,H4r4RS33SpOUYyMby8UI,45
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-14,RzRotmx1X9OzjqCFdaCU,30
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-15,WENaj13RWJSra5tVQdBe,20
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-16,rJOWMdXZYNtZYlxrpsFG,15
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-16,RzRotmx1X9OzjqCFdaCU,266
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-17,6tpDKogygJliGHVcRuhS,15
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-17,H4r4RS33SpOUYyMby8UI,20
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,2025-12-17,WENaj13RWJSra5tVQdBe,5
