userId,todoId,taskName,date,actualMinutes,estimatedMinutes,deadline,completed
DgApBqtxpeVE5G5MnIVw9ThpyN93,53EIH4uY2PeAUhQgrVkk,中間発表の資料を完成させる,2025-10-16,20,240,2025-10-21T05:40:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,53EIH4uY2PeAUhQgrVkk,中間発表の資料を完成させる,2025-10-18,30,240,2025-10-21T05:40:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,53EIH4uY2PeAUhQgrVkk,中間発表の資料を完成させる,2025-10-19,90,240,2025-10-21T05:40:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,53EIH4uY2PeAUhQgrVkk,中間発表の資料を完成させる,2025-10-20,120,240,2025-10-21T05:40:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,5NHkI2KZn1oWspLbrLVE,日本学生支援機構採否通知配布,2025-10-21,60,60,2025-10-16T02:40:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,aQInLuXM80dQeHCpz6vs,卒業論文のベース完成,2025-11-24,120,720,2025-12-01T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,aQInLuXM80dQeHCpz6vs,卒業論文のベース完成,2025-11-27,180,720,2025-12-01T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,aQInLuXM80dQeHCpz6vs,卒業論文のベース完成,2025-11-30,180,720,2025-12-01T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,aQInLuXM80dQeHCpz6vs,卒業論文のベース完成,2025-12-01,180,720,2025-12-01T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,aQInLuXM80dQeHCpz6vs,卒業論文のベース完成,2025-12-02,60,720,2025-12-01T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,JAYSPpgpnUwkdca49rTZ,Planned vs Actualのバグ修正,2025-10-15,180,180,2025-10-14T07:10:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,Kue0t6QytBmV9GXVQAS1,奨学金書類配布,2025-10-21,30,30,2025-10-16T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,LZcCtTroo4OcXLOZCSjS,リストのフィルター機能を復活させる,2025-10-18,15,60,2025-10-13T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,LZcCtTroo4OcXLOZCSjS,リストのフィルター機能を復活させる,2025-10-19,30,60,2025-10-13T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,LZcCtTroo4OcXLOZCSjS,リストのフィルター機能を復活させる,2025-10-20,15,60,2025-10-13T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,m3lMCoJf7cchKYxCvV0T,カード振込,2025-11-02,5,5,2025-10-25T09:00:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,OBRscVWDrP6T2dgGwzRM,LinkedInラーニング,2025-12-09,90,240,2025-12-09T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,rEH4wQZJxAggfr17y4MM,フロントエンドでのアップデート履歴の表示,2025-10-21,120,120,2025-10-28T03:55:00.000Z,true
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-10-24,330,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-10-27,240,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-04,240,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-05,300,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-07,360,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-11,0,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-16,120,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-20,240,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-25,60,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-26,90,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-11-28,90,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-12-04,60,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-12-09,0,6000,2025-12-31T09:00:00.000Z,false
DgApBqtxpeVE5G5MnIVw9ThpyN93,yFII5G1f8Yf47CTrPlWC,ITパスポート100時間勉強する,2025-12-15,15,6000,2025-12-31T09:00:00.000Z,false
EyQHdJounoeN8h11wqvbDmuNK2j2,dpd9aFykWQb1UuzgWzxD,卒論完成,2025-11-17,1000,1000,2025-12-31T09:00:00.000Z,true
EyQHdJounoeN8h11wqvbDmuNK2j2,w6vZ1wAgSDTUJFOS8268,卒研提出,2025-11-17,20,20,2026-01-14T06:00:00.000Z,true
fPbo8M5sYpP78kgIe8EzCDRC7LI2,KCb6VqpjKFzCLHdBRJzf,関連研究書く,2025-12-01,90,180,2025-12-02T03:00:00.000Z,true
fPbo8M5sYpP78kgIe8EzCDRC7LI2,KCb6VqpjKFzCLHdBRJzf,関連研究書く,2025-12-02,90,180,2025-12-02T03:00:00.000Z,true
fPbo8M5sYpP78kgIe8EzCDRC7LI2,yHey3x08zCgA2icWo0NX,システムの実装,2025-12-02,30,90,2025-12-16T09:00:00.000Z,false
qEvovKzp9yTvyfV3IGR9OUERHbk1,1fQSP4olWNYjyj9ztsIa,研究,2025-12-02,30,30,2025-12-24T11:00:00.000Z,false
qEvovKzp9yTvyfV3IGR9OUERHbk1,rvaGIeyV6UNCA6n6OuHY,卒論完成,2025-12-02,60,25,2025-12-31T11:00:00.000Z,false
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,DDGFretF50fqyBt7QTDJ,抹茶ラテ飲む,2025-11-22,60,60,2025-09-22T10:00:00.000Z,true
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,DULzEhPF8J19jPy1bEby,お茶買う,2025-11-24,3,3,2025-11-22T14:00:00.000Z,true
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,k3TSWnSlr3Wk8uCKw9VU,QA1周する,2025-11-24,60,1440,2025-11-30T14:59:00.000Z,false
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,k3TSWnSlr3Wk8uCKw9VU,QA1周する,2025-11-26,120,1440,2025-11-30T14:59:00.000Z,false
Y8guHqhoS2XRWkxAJMSr6fqzmVD3,mxhyUNbtgPbGkWIUmmBH,ノート入れる,2025-11-24,15,15,2025-11-22T14:00:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,5KxoVTiwYbl1q6tepu0D,締め切りヤバイ,2025-11-12,70,90,2025-11-13T09:00:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,5KxoVTiwYbl1q6tepu0D,締め切りヤバイ,2025-11-17,20,90,2025-11-13T09:00:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,6tpDKogygJliGHVcRuhS,common,2025-11-27,10,30,2025-11-28T09:00:00.000Z,false
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,6tpDKogygJliGHVcRuhS,common,2025-11-28,5,30,2025-11-28T09:00:00.000Z,false
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,8EG6pfoqRVbf5f1AEiFQ,week7,2025-10-22,30,90,2025-10-28T01:30:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,8EG6pfoqRVbf5f1AEiFQ,week7,2025-11-06,60,90,2025-10-28T01:30:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,8oAxKzrYkvwqxEfsZHA9,sadoku要件整理,2025-10-21,15,30,2025-10-22T09:00:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,8oAxKzrYkvwqxEfsZHA9,sadoku要件整理,2025-11-17,15,30,2025-10-22T09:00:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,a0INCCdPYdwVRTXCPsos,年末調整,2025-11-12,180,180,2025-11-14T09:00:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,B0v5nFlSUvYd5XaW2TZS,proglang-saiten,2025-10-16,90,90,2025-10-10T01:30:00.000Z,true
Z9IYVixbY7QYdNBlmHkyIUEXMAI2,BvsY1VGmhwOPCMTmoxcT,sadoku対応,2025-11-20,30,60,2025-11-24T09:00:00.000Z,true
